Friendly_SecretPrize,11.33382,Boss,0, ,1-1 (Objective),Friendly_SecretPrize,11.33382,Boss,0
Normal_NeedHelp,25.88665,Colleague,1.855335, ,1-2 (Objective),Normal_NeedHelp,25.88665,Colleague,1.855335
Friendly_Escape,56.68312,Colleague,1.985417, ,2-1 (Objective),Friendly_Escape,56.68312,Colleague,1.985417
Normal_NeedHelp,62.79675,Colleague,1.985417, ,3-1 (Objective),Normal_NeedHelp,62.79675,Colleague,1.985417
Normal_Keycard,70.68793,Colleague,1.633872, ,3-2 (Objective),Normal_Keycard,70.68793,Colleague,1.633872
Normal_Fixed,86.23921,Colleague,1.633872, ,3-3 (Objective),Normal_Keycard,70.68793,Colleague,1.633872
Normal_WantedToTalkToMe,92.76376,Boss,1.633872, ,3-4 (Objective),Normal_Keycard,70.68793,Colleague,1.633872
Normal_Phone,102.1067,Boss,1.633872, ,3-5 (Objective),Normal_Fixed,86.23921,Colleague,1.633872
, ,4-1 (Objective),Normal_WantedToTalkToMe,92.76376,Boss,1.633872
, ,4-2 (Objective),Normal_WantedToTalkToMe,92.76376,Boss,1.633872
, ,4-3 (Objective),Normal_Phone,102.1067,Boss,1.633872
